Type,SourceAddr,Length,Command,Payload
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 40 00 ae 5f 36"
"Normal","0x25 OUI","4","0x42 Unknown","01 48 fd 33"
"Normal","0xa5 GPU","4","0x42 Unknown","01 70 20 56"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 41 00 9f 6c 35"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0xa5 GPU","4","0x42 Unknown","01 70 20 56"
"Normal","0x25 OUI","4","0x42 Unknown","01 48 fd 33"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 42 00 cc 39 30"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 41 00 9f 6c 35"
