Type,SourceAddr,Length,Command,Payload
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 42 00 cc 39 30"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 46 00 af d9 9a"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Normal","0x25 OUI","4","0x42 Unknown","01 48 fd 33"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 43 00 fd 0a 33"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 47 00 9e ea 99"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 42 00 cc 39 30"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 46 00 af d9 9a"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 43 00 fd 0a 33"
"Normal","0xa5 GPU","10","0x74 Unknown","03 00 0a 00 00 00 00 a3 bb 2e"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Normal","0x25 OUI","4","0x42 Unknown","01 48 fd 33"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 42 00 cc 39 30"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 46 00 af d9 9a"
