Type,SourceAddr,Length,Command,Payload
"Normal","0xa5 GPU","6","0x1a Unknown","00 70 58 9e 28 c3"
"Normal","0x25 OUI","8","0xc5 Unknown","03 01 02 00 00 9a 00 96"
"Normal","0x25 OUI","6","0x1a Unknown","00 f4 cf bc d8 82"
"Normal","0x25 OUI","10","0x74 Unknown","03 00 02 00 00 00 00 ba 5d 59"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x25 OUI","10","0x74 Unknown","03 00 04 00 00 00 00 3f 90 17"
"Normal","0xa5 GPU","10","0x74 Unknown","03 00 02 00 00 00 00 8e b9 09"
"Normal","0x65 OVC2","7","0x24 ovenLightState","03 01 00 01 4a 28 c3"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x65 OVC2","6","0x2c reportOpenRTD","03 01 00 1b 24 96"
"Normal","0xa5 GPU","19","0x78 Unknown","03 f8 01 00 80 01 ff ff ff ff ff f8 01 00 80 01 80 6c 3a"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x65 OVC2","6","0x2c reportOpenRTD","03 01 00 1b 24 96"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4b 00 f3 af bd"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4c 00 64 36 b4"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4b 00 f3 af bd"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4a 00 c2 9c be"
"Normal","0xa5 GPU","10","0x74 Unknown","03 00 05 00 00 00 00 5a de bd"
"Normal","0x2e UNK ","5","0x24 ovenLightState","01 04 b6 85 dd"
"Normal","0x45 OVC1","4","0x34 Unknown","01 65 06 f3"
"Normal","0x25 OUI","10","0x74 Unknown","03 00 05 00 00 00 00 6e 3a ed"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4c 00 64 36 b4"
"Normal","0x2e UNK ","5","0x24 ovenLightState","01 04 b6 85 dd"
"Normal","0x4e UNK ","5","0x24 ovenLightState","01 04 6a 9c 78"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4a 00 c2 9c be"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4a 00 c2 9c be"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 4c 00 64 36 b4"
