Type,SourceAddr,Length,Command,Payload
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 46 00 af d9 9a"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 3f 00 c9 47 36"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 47 00 9e ea 99"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 40 00 ae 5f 36"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 3f 00 c9 47 36"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 48 00 a0 fa b8"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Normal","0xa5 GPU","5","0x6c heartbeat","03 00 73 d9 81"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Diag","0x45 OVC1","7","0x24 ovenLightState","00 06 00 00 7d b2 5c"
"Diag","0x45 OVC1","7","0x24 ovenLightState","00 06 00 00 7d b2 5c"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Diag","0x45 OVC1","7","0x24 ovenLightState","00 06 00 00 7d b2 5c"
"Normal","0xa5 GPU","4","0x42 Unknown","01 70 20 56"
"Normal","0x25 OUI","4","0x42 Unknown","01 48 fd 33"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 47 00 9e ea 99"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 40 00 ae 5f 36"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 3f 00 c9 47 36"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 48 00 a0 fa b8"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 40 00 ae 5f 36"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 49 00 91 c9 bb"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 47 00 9e ea 99"
"Normal","0xa5 GPU","4","0x42 Unknown","01 70 20 56"
"Normal","0xa5 GPU","10","0x74 Unknown","03 00 0a 00 00 00 00 a3 bb 2e"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 41 00 9f 6c 35"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 40 00 ae 5f 36"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 41 00 9f 6c 35"
